CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,first_time_customer,order_dollar_amaout,num_items,age,web_order,total_transactions_to_date,billing_shipping_zip_equal,hour_of_day,Reported_as_fraud,rownum,lookup_id,NewShipToZip
Kiara Hogan           ,5275067504980679,821,?,54680 South Cudahy Blvd.                                      ,Las Vegas             ,USA,120121,Samson@Nulla.org           ,Kiara *Hogan           ,873-183-4395,NV,71694,71277,Y,659.9,5,105.8,Y,95,N,8,N,57470,3,89106
Ingrid Buckner        ,5336812950541203,1219,?,24211 East Niue Way                                           ,Las Vegas             ,USA,287497,Farrah@luctus.net          ,Ingrid *Buckner        ,671-648-8990,NV,87337,87073,Y,455.9,7,40.4,Y,55,N,12,N,15025,1,89102
Jerry Santiago        ,4539016013803810,121,?,38656 East Bouvet Island Ln.                                  ,Las Vegas             ,USA,579774,Imogene@taciti.net         ,Jerry *Santiago        ,376-957-3475,NV,70247,70134,N,794.1,16,106.6,Y,73,N,13,N,9679,2,89109
Brianna Dale          ,4532248804040610,1120,?,3137 South Asbury Park St.                                    ,Las Vegas             ,USA,377883,Hanna@varius.net           ,Brianna *Dale          ,996-636-6934,NV,14747,14460,Y,815.4,15,34.4,N,71,N,14,Y,79232,3,89106
Anika Kane            ,4796240812433649,620,?,8581 South Guyana Ct.                                         ,Las Vegas             ,USA,630831,Candace@ut.com             ,Anika *Kane            ,028-286-3601,NV,41068,40765,N,99.4,20,51.8,Y,14,N,1,Y,60775,1,89102
Florence Martin       ,4916983539531949,1220,?,12908 South Angola Ct.                                        ,Las Vegas             ,USA,716539,Florence@ridiculus.net     ,Florence *Martin       ,204-283-6443,NV,61323,61313,Y,722.3,19,27.2,Y,61,N,20,Y,77638,2,89109
Caldwell Hooper       ,348665376691664,1118,?,62825 North Finland Blvd.                                     ,Las Vegas             ,USA,857206,Yael@eros.gov              ,Caldwell *Hooper       ,511-899-6864,NV,44308,44022,Y,191,5,80.2,Y,11,N,10,N,7685,3,89106
Seth Best             ,5275976014907750,619,?,27956 East Long Beach Ct.                                     ,Las Vegas             ,USA,105393,Lilah@conubia.gov          ,Hayley *Benjamin       ,063-742-8822,NV,49198,69288,N,614.6,2,81,Y,8,N,18,Y,66337,1,89102
Cassandra Black       ,5506478307910105,1021,?,33824 North Andorra Blvd.                                     ,Las Vegas             ,USA,8345,Julian@non.us              ,Cassandra *Black       ,993-251-9442,NV,34874,34701,N,979.6,18,11.3,N,68,N,12,Y,12130,2,89109
Leslie Martin         ,4916826666433449,920,?,5854 East Agat Way                                            ,Las Vegas             ,USA,549189,Kuame@Vivamus.com          ,Leslie *Martin         ,188-110-6178,NV,63462,63307,N,544.8,9,93,N,96,N,23,N,54582,3,89106
Serina Gamble         ,4024007157353458,1120,?,41780 West Afghanistan Ave.                                   ,Las Vegas             ,USA,747925,Carla@ut.org               ,Serina *Gamble         ,376-087-7015,NV,95784,95592,N,885.1,15,51.8,N,97,N,18,Y,40329,1,89102
Dieter Carroll        ,4539351764035951,1120,?,3924 East Clarksburg Ct.                                      ,Las Vegas             ,USA,761006,Travis@fermentum.edu       ,Dieter *Carroll        ,549-781-7992,NV,42635,42243,N,965.8,16,54.2,Y,60,N,20,Y,26551,2,89109
Quyn Nash             ,5533915430084792,1220,?,71438 East Reunion Ave.                                       ,Las Vegas             ,USA,129912,Dante@senectus.us          ,Quyn *Nash             ,203-435-6127,NV,8955,8628,N,674.3,8,26.7,Y,9,N,11,N,84605,3,89106
Axel Pacheco          ,4716392047749161,722,?,78510 West Finland St.                                        ,Las Vegas             ,USA,356183,Gabriel@nostra.us          ,Abel *Burton           ,626-759-6149,NV,68641,48671,N,491.1,8,57.3,Y,84,N,7,N,87672,1,89102
Kessie Boyer          ,5517191645114887,820,?,51470 East Columbus Blvd.                                     ,Las Vegas             ,USA,287572,Mufutau@torquent.edu       ,Kessie *Boyer          ,338-779-3269,NV,37724,37616,Y,606.5,17,62.5,Y,54,N,2,Y,56946,2,89109
Wyoming Barron        ,5422741401559651,118,?,49227 North Carrollton Way                                    ,Las Vegas             ,USA,112810,Sopoline@turpis.us         ,Wyoming *Barron        ,356-179-0795,NV,22993,22860,N,816.4,5,18.3,Y,39,N,15,Y,25712,3,89106
Bevis Allison         ,6011567942051246,922,?,81321 North French Guiana St.                                 ,Las Vegas             ,USA,950790,Beverly@facilisis.org      ,Bevis *Allison         ,551-614-6139,NV,12945,12605,Y,14.7,9,109.4,Y,56,N,12,N,58350,1,89102
Sybill Colon          ,4588978505053172,1221,?,52762 West Antigua and Barbuda Ct.                            ,Las Vegas             ,USA,694203,Jolene@mi.us               ,Sybill *Colon          ,749-028-0112,NV,38247,38021,Y,406.7,16,28.6,Y,51,N,18,N,17715,2,89109
Macon Spears          ,5375910991860772,219,?,90404  Qatar Ave.                                             ,Las Vegas             ,USA,130533,Alan@Sed.edu               ,Macon *Spears          ,550-533-7619,NV,39405,39169,Y,898.5,9,71.2,N,25,N,20,Y,65179,3,89106
Rooney Guzman         ,5107124910350379,521,?,53358 North Monaco Way                                        ,Las Vegas             ,USA,5958,Gemma@eget.org             ,Rooney *Guzman         ,041-559-9322,NV,23459,23005,Y,730.6,7,43.4,N,96,N,1,N,80724,1,89102
Rina Whitaker         ,5399501498533541,418,?,74616 West Mozambique Ct.                                     ,Las Vegas             ,USA,118764,Dolan@dui.us               ,Rina *Whitaker         ,059-717-7413,NV,12297,12234,N,839.6,19,64.1,N,26,N,12,Y,93548,2,89109
Omar Hunt             ,5399492303784232,822,?,1173 South Malawi Ln.                                         ,Las Vegas             ,USA,92681,Madeson@Vestibulum.gov     ,Mason *Crawford        ,624-940-5954,NV,15947,7949,Y,452.6,5,65,N,39,N,22,N,59703,3,89106
Eric Rocha            ,4485880948361200,419,?,78140 West Saint Helena Blvd.                                 ,Las Vegas             ,USA,652937,Vernon@vehicula.gov        ,Brian *Bartlett        ,196-704-7175,NV,11384,42241,N,293.1,16,27.8,N,73,N,4,N,38997,1,89102
Shelly Cain           ,4407188111387563,519,?,22550 West Lock Haven St.                                     ,Las Vegas             ,USA,411161,Erasmus@molestie.com       ,Shelly *Cain           ,910-961-7477,NV,9507,9310,N,347.4,17,26.4,Y,30,N,0,Y,81843,2,89109
Daquan Orr            ,370705393651746,820,?,85777  Andorra Ct.                                            ,Las Vegas             ,USA,831710,Rylee@taciti.com           ,Daquan *Orr            ,340-505-1515,NV,93689,93305,Y,357.2,18,56.7,N,86,N,0,Y,55415,3,89106
Kiara Ratliff         ,4024007182112325,719,?,75216  Colombia Ln.                                           ,Las Vegas             ,USA,657691,Jocelyn@Class.org          ,Kiara *Ratliff         ,771-592-5368,NV,23708,23597,Y,495.1,3,77.4,N,85,N,4,N,35039,1,89102
Talon Salas           ,4869960819602381,922,?,55458 South Andorra Way                                       ,Las Vegas             ,USA,738214,Upton@elementum.net        ,Ferris *Cross          ,310-639-3669,NV,10547,97907,N,950.5,20,48.3,Y,14,N,7,Y,73999,2,89109
Fatima Todd           ,5596989828643810,922,?,31982 North Carson City Way                                   ,Las Vegas             ,USA,144498,Xena@faucibus.org          ,Hadley *Russo          ,481-973-0859,NV,9918,19075,N,564.5,19,98.2,Y,70,N,3,N,63451,3,89106
Ulric Huber           ,372732414897031,419,?,57004 West Bahamas Way                                        ,Las Vegas             ,USA,850152,Olga@non.com               ,Ulric *Huber           ,770-895-6810,NV,16635,16341,Y,425.9,4,106.4,N,88,N,2,N,9803,1,89102
Teagan Maddox         ,6011036930530363,1123,?,74523 East Burkina Faso St.                                   ,Las Vegas             ,USA,993259,Declan@suscipit.com        ,Teagan *Maddox         ,831-287-4852,NV,40102,39936,Y,894.7,20,15.6,N,25,N,21,Y,3589,2,89109
Kirby Hines           ,4532601771866278,823,?,94703 South Albany Ct.                                        ,Las Vegas             ,USA,625320,Karly@lobortis.edu         ,Kirby *Hines           ,229-534-6791,NV,64328,63952,N,728.7,8,30.5,Y,39,N,20,Y,76140,3,89106
Dalton Hurley         ,4716198807772503,419,?,94536  Belleville St.                                         ,Las Vegas             ,USA,673226,Simon@in.net               ,Dalton *Hurley         ,328-209-7032,NV,81238,80845,Y,971,13,42.3,N,100,N,12,Y,69798,1,89102
Amelia Garrison       ,5168504351416340,321,?,31164 West Bosnia and Herzegovina Blvd.                       ,Las Vegas             ,USA,101471,Jeanette@porttitor.us      ,Mannix *Mcknight       ,061-133-0108,NV,53363,8771,Y,331.3,20,67.8,N,22,N,10,Y,95920,2,89109
Wayne Hahn            ,5259245648608568,1222,?,41301 West Algeria St.                                        ,Las Vegas             ,USA,318024,Beverly@hymenaeos.gov      ,Wayne *Hahn            ,175-483-0585,NV,68592,68163,N,3.7,19,32.3,N,23,N,10,N,4546,3,89106
Murphy Larson         ,348948716627089,520,?,11426  Albania St.                                            ,Las Vegas             ,USA,924340,Carson@porttitor.gov       ,Murphy *Larson         ,646-309-7428,NV,69240,68998,Y,190.1,13,57.7,Y,66,N,13,Y,95697,1,89102
Rashad Weber          ,5451635180374106,921,?,1117 North Cleveland Blvd.                                    ,Las Vegas             ,USA,338776,Eugenia@cursus.edu         ,Igor *Mcpherson        ,933-511-4455,NV,63141,38068,Y,653.3,15,34.3,Y,37,N,7,Y,31489,2,89109
Lillian Nichols       ,6011304604018614,720,?,70179 East Columbia Way                                       ,Las Vegas             ,USA,971552,Willow@Pellentesque.edu    ,Lillian *Nichols       ,469-653-3150,NV,74354,74309,Y,26,20,61.3,N,57,N,20,N,26146,3,89106
Finn Reed             ,4556228743139989,1223,?,16046  Papua New Guinea Ave.                                  ,Las Vegas             ,USA,800601,Fletcher@dis.gov           ,Finn *Reed             ,601-507-9142,NV,2142,2140,Y,870.4,10,71.6,Y,44,N,19,Y,25218,1,89102
Zephania Sanders      ,4024007161941348,619,?,93401  Hamilton Blvd.                                         ,Las Vegas             ,USA,539504,Reese@bibendum.edu         ,Knox *Hickman          ,118-506-0013,NV,3690,3796,N,141.1,17,101.7,Y,78,N,15,N,37111,2,89109
Nash Atkins           ,4556906411289588,1118,?,70075  Sweden Blvd.                                           ,Las Vegas             ,USA,435571,Tasha@tempus.gov           ,Ella *Chavez           ,942-170-9695,NV,54871,69921,N,504.5,15,98.3,Y,71,N,23,N,48261,3,89106
Akeem Fox             ,4532697961354695,1120,?,77327  Romania Blvd.                                          ,Las Vegas             ,USA,618831,Hyacinth@sagittis.org      ,Owen *Landry           ,866-563-5640,NV,99219,76639,N,314.7,19,13.9,Y,75,N,15,N,88941,1,89102
Mercedes Trujillo     ,5182524517191399,1119,?,86628 West Argentina Ln.                                      ,Las Vegas             ,USA,333951,Ira@mollis.net             ,Courtney *Jacobs       ,270-103-3701,NV,32011,9641,N,441,16,50.8,Y,19,N,11,N,94679,2,89109
Chastity Cotton       ,5212227342757269,721,?,63727 North Bosnia and Herzegovina Way                        ,Las Vegas             ,USA,9149,Mollie@vestibulum.com      ,Chastity *Cotton       ,273-399-3452,NV,29245,28770,N,397.4,19,39.4,Y,42,N,6,N,5218,3,89106
Xavier Turner         ,373507172755335,919,?,52148 South Liberia Ln.                                       ,Las Vegas             ,USA,808970,Hayes@sociosqu.gov         ,Xavier *Turner         ,181-465-5762,NV,87524,87444,N,414.1,7,42.9,Y,28,N,18,N,63360,1,89102
Nerea Cantrell        ,4532254595350986,1118,?,89841 North Andorra Blvd.                                     ,Las Vegas             ,USA,453576,Renee@torquent.gov         ,Nerea *Cantrell        ,652-262-5987,NV,44963,44673,N,787.1,11,17.9,N,22,N,1,Y,2389,2,89109
Lavinia Walter        ,4539986747576272,322,?,40633 North Australia St.                                     ,Las Vegas             ,USA,577789,Celeste@vestibulum.com     ,Lavinia *Walter        ,755-840-5782,NV,69568,69263,N,512.8,8,99.9,N,38,N,3,N,2391,3,89106
Octavius Maddox       ,4478921356672305,221,?,7656  Hopkinsville St.                                        ,Las Vegas             ,USA,709859,Evan@Morbi.edu             ,Octavius *Maddox       ,743-147-2156,NV,90908,90643,Y,300.1,3,99.2,N,13,N,3,N,83128,1,89102
Olivia Bradshaw       ,5379358736649199,523,?,8855 North Sweden Ln.                                         ,Las Vegas             ,USA,169650,Omar@nostra.net            ,Aidan *Chandler        ,152-298-4239,NV,10461,25118,Y,243.3,19,94,N,92,N,21,N,39583,2,89109
Blaze Caldwell        ,4558741732247025,722,?,41082  Citrus Heights Way                                     ,Las Vegas             ,USA,796177,Xandra@suscipit.net        ,Tyrone *Brooks         ,576-646-0003,NV,95928,88439,Y,578.4,4,16.3,Y,61,N,5,Y,58721,3,89106
Aidan Stout           ,4024007157820084,521,?,93393 North Niger Blvd.                                       ,Las Vegas             ,USA,633350,Dolan@Vestibulum.com       ,Aidan *Stout           ,843-965-5532,NV,48632,48491,N,520,18,24.7,Y,32,N,5,N,73242,1,89102
Forrest Bernard       ,5231933366701821,520,?,76137 East Burkina Faso St.                                   ,Las Vegas             ,USA,135938,Fiona@erat.gov             ,Forrest *Bernard       ,329-135-3555,NV,83431,83364,Y,638,16,79.7,Y,58,N,1,Y,39302,2,89109
Shelly Rhodes         ,5423564266351736,521,?,27335 South Chad Blvd.                                        ,Las Vegas             ,USA,225993,Clio@eros.gov              ,Craig *Melendez        ,368-870-0862,NV,44989,32548,Y,743.6,17,103.6,Y,4,N,10,N,64441,3,89106
Ryder Mcdaniel        ,5160288806178253,320,?,99621 East Macedonia St.                                      ,Las Vegas             ,USA,175131,Quon@elit.org              ,Aline *Hendrix         ,817-027-9592,NV,48333,89631,N,462.6,18,11.5,Y,49,N,17,N,11358,1,89102
Fuller Huber          ,4716062249870087,319,?,63867 North Zimbabwe Blvd.                                    ,Las Vegas             ,USA,421026,MacKensie@ut.edu           ,Fuller *Huber          ,742-798-3992,NV,38935,38595,Y,443.6,11,67.4,N,89,N,14,N,12956,2,89109
Yael Chan             ,374079613436320,221,?,57067 West Artesia Blvd.                                      ,Las Vegas             ,USA,908377,Cailin@sapien.us           ,Yael *Chan             ,738-411-8382,NV,37051,37038,Y,37.1,6,11.7,Y,44,N,18,N,55378,3,89106
Natalie Townsend      ,4312586451027984,221,?,92214  Cape Verde Ct.                                         ,Las Vegas             ,USA,767177,Nathaniel@mattis.org       ,Kylie *Carter          ,726-329-2190,NV,21201,69698,N,433.5,3,18.7,N,10,N,17,N,4349,1,89102
Lenore Jackson        ,5283288542030182,620,?,2986 South Kyrgyzstan St.                                     ,Las Vegas             ,USA,15163,Alec@sociis.com            ,Lenore *Jackson        ,561-973-5137,NV,58341,57940,N,15.1,6,103.4,Y,41,N,20,N,8598,2,89109
Iliana Pierce         ,4024007189524878,1022,?,26686 East Inglewood Way                                      ,Las Vegas             ,USA,353513,Logan@sapien.gov           ,Iliana *Pierce         ,680-080-9250,NV,80295,80178,N,513.3,18,92.9,Y,27,N,13,N,98038,3,89106
Theodore Pate         ,4916927152902358,1121,?,60131  Amesbury Way                                           ,Las Vegas             ,USA,768240,Samuel@Nunc.net            ,Theodore *Pate         ,528-219-7436,NV,40782,40483,N,677.8,13,94,Y,97,N,1,N,4597,1,89102
Lamar Mendez          ,6011312573810002,421,?,34931 West Bulgaria Ln.                                       ,Las Vegas             ,USA,985105,Maisie@conubia.com         ,Illana *Mathis         ,249-322-8998,NV,18199,20866,N,695.7,2,108.3,N,16,N,2,N,59885,2,89109
Dana Wilcox           ,4532790057870177,620,?,12257 South Croatia Ct.                                       ,Las Vegas             ,USA,586143,Blossom@congue.com         ,Dana *Wilcox           ,181-715-3566,NV,8889,8676,N,61.8,13,33.5,Y,25,N,13,N,19713,3,89106
Dylan Hayes           ,347087059048784,1023,?,98949 South Panama Way                                        ,Las Vegas             ,USA,849281,Tarik@eros.org             ,Dylan *Hayes           ,579-459-8870,NV,98652,98646,Y,381.7,12,88.4,Y,64,N,21,N,24633,1,89102
Nadine Price          ,5341014930215767,322,?,84678 South Greensburg St.                                    ,Las Vegas             ,USA,332866,Willa@mus.org              ,Nadine *Price          ,207-837-0936,NV,55663,55305,Y,705.2,18,103.9,N,99,N,1,N,26112,2,89109
Ebony Trujillo        ,4556487028429321,1119,?,81909 South Angola St.                                        ,Las Vegas             ,USA,700273,Demetria@tincidunt.us      ,Ebony *Trujillo        ,045-187-6894,NV,4564,4457,N,991.9,2,62.9,Y,26,N,1,Y,63825,3,89106
Thaddeus Dejesus      ,4916419031212175,1119,?,8394 South Sao Tome and Principe St.                          ,Las Vegas             ,USA,463217,Ursa@congue.edu            ,Thaddeus *Dejesus      ,024-941-1102,NV,72772,72441,N,809.3,12,77.7,N,87,N,12,N,56408,1,89102
Ulric Mcdaniel        ,5166972615347779,921,?,7620 East Botswana Ct.                                        ,Las Vegas             ,USA,287715,Kirestin@Vestibulum.org    ,Ulric *Mcdaniel        ,567-500-9355,NV,32736,32251,Y,890.4,9,50.5,Y,61,N,10,Y,31654,2,89109
Wyoming Chase         ,4539327873925548,322,?,25498 West Greensburg Blvd.                                   ,Las Vegas             ,USA,778002,Sade@nibh.org              ,Wyoming *Chase         ,859-030-4968,NV,91739,91534,Y,416.4,12,79.5,Y,80,N,6,Y,52125,3,89106
Penelope Taylor       ,5552113351159001,920,?,78178 South China Ln.                                         ,Las Vegas             ,USA,26494,Serena@nulla.net           ,Penelope *Taylor       ,314-469-2675,NV,11444,11299,Y,618,2,47.2,Y,79,N,1,N,35892,1,89102
Aurora Reese          ,4716253997348398,118,?,28716 West Denmark Blvd.                                      ,Las Vegas             ,USA,618721,Kane@consequat.us          ,Jonah *Matthews        ,425-038-8021,NV,76803,33284,N,713.7,7,16.7,Y,27,N,4,Y,89870,2,89109
Illana Bender         ,5106943860190712,220,?,32364 West France St.                                         ,Las Vegas             ,USA,101142,Jennifer@Nulla.net         ,Illana *Bender         ,735-906-1517,NV,42202,41804,Y,191.3,6,109.3,N,12,N,11,N,39692,3,89106
Keane Morales         ,6011609917271100,521,?,3203  Nigeria Ct.                                             ,Las Vegas             ,USA,940921,Jillian@Aliquam.net        ,Keane *Morales         ,678-520-8699,NV,85235,84914,N,369,18,17.2,N,88,N,17,N,7216,1,89102
Paloma Mitchell       ,4556758228965011,620,?,23812 South Cocos (Keeling) Islands Blvd.                     ,Las Vegas             ,USA,551110,Dawn@ullamcorper.gov       ,Paloma *Mitchell       ,469-631-8826,NV,35707,35408,N,959.1,18,105.9,Y,97,N,7,N,24366,2,89109
Xandra Walton         ,5128316575131301,1020,?,62958 South Costa Rica Ave.                                   ,Las Vegas             ,USA,14022,Hilel@taciti.us            ,Xandra *Walton         ,046-984-4440,NV,75268,74909,N,379.8,5,31.7,N,45,N,14,N,21084,3,89106
Gemma Dunlap          ,5256868323406744,222,?,62212  Brazil Way                                             ,Las Vegas             ,USA,72700,Uta@malesuada.us           ,Gemma *Dunlap          ,201-313-4944,NV,26679,26376,N,631.9,19,21.7,Y,64,N,21,Y,73347,1,89102
Lane Mckenzie         ,6011485489383809,822,?,27352 East Decatur Way                                        ,Las Vegas             ,USA,963505,Lucy@nec.edu               ,Lane *Mckenzie         ,881-363-3390,NV,76419,76165,N,661,16,96.9,Y,43,N,9,Y,15164,2,89109
Scarlet Sweeney       ,6011000347774352,420,?,23735 East Louisville St.                                     ,Las Vegas             ,USA,993912,Orli@viverra.us            ,Jael *Jarvis           ,975-107-7971,NV,50632,65326,Y,948.4,5,96.7,Y,13,N,17,Y,45387,3,89106
Emery Valencia        ,5300672316686973,319,?,10715 North Arcadia Way                                       ,Las Vegas             ,USA,173518,Brianna@nulla.gov          ,Emery *Valencia        ,147-153-5405,NV,3944,3849,N,713.7,5,46.3,N,21,N,9,N,90691,1,89102
Travis Mcpherson      ,4024007137234794,319,?,9975 West Barbados Ln.                                        ,Las Vegas             ,USA,724697,Dennis@Cum.net             ,Travis *Mcpherson      ,849-496-3743,NV,31191,30951,Y,451.6,6,81.1,Y,2,N,17,N,50865,2,89109
Madeline Hardin       ,5152170810225124,221,?,20679 East Gabon Ct.                                          ,Las Vegas             ,USA,18333,Haviva@dui.com             ,Madeline *Hardin       ,377-804-6162,NV,3485,3315,N,765.3,15,19.1,N,32,N,6,Y,27383,3,89106
Samantha Hopper       ,4929213145475579,919,?,47352  Birmingham Ave.                                        ,Las Vegas             ,USA,725721,Harding@nisi.gov           ,Hector *Shelton        ,576-025-3171,NV,43359,72186,N,37.1,20,67.8,Y,95,N,9,N,61683,1,89102
Martena Hewitt        ,5143944168028898,722,?,92318  Norfolk Island Ln.                                     ,Las Vegas             ,USA,234613,Ali@id.org                 ,Elvis *Hooper          ,481-138-8827,NV,45664,97295,N,38.2,15,102.9,Y,54,N,11,N,77248,2,89109
Byron Beach           ,5115820645183841,619,?,1387 North Albania Ave.                                       ,Las Vegas             ,USA,336504,Larissa@convallis.gov      ,Byron *Beach           ,388-144-0497,NV,26567,26504,Y,169,20,18.3,Y,65,N,10,Y,10131,3,89106
Myra Caldwell         ,4192315327365500,319,?,97061  Slovenia Ave.                                          ,Las Vegas             ,USA,728710,Abbot@tellus.com           ,Alice *Thompson        ,261-292-1627,NV,78376,83819,Y,87.2,13,39.6,Y,62,N,5,Y,33517,1,89102
Chantale Sweet        ,4532992347448786,921,?,57625  Attleboro Ave.                                         ,Las Vegas             ,USA,556371,Meghan@ipsum.com           ,Chantale *Sweet        ,912-461-4593,NV,83158,82817,N,159,19,102.6,Y,44,N,0,N,57209,2,89109
Lani Combs            ,346169679798898,921,?,59010  Haiti Ct.                                              ,Las Vegas             ,USA,910953,September@semper.edu       ,Lani *Combs            ,607-614-5565,NV,86321,85910,N,337.8,7,108.2,N,6,N,7,N,62147,3,89106
Briar Golden          ,6011026213227050,1122,?,50773 East Huntsville Blvd.                                   ,Las Vegas             ,USA,974398,Echo@tortor.com            ,Briar *Golden          ,921-368-9604,NV,41612,41436,N,506.6,17,59.8,N,17,N,17,N,44106,1,89102
Hector Mcleod         ,5585779514108126,421,?,44813 South Gabon Ct.                                         ,Las Vegas             ,USA,3484,Lydia@Cras.com             ,Hector *Mcleod         ,401-357-9683,NV,92241,91776,Y,693.4,3,36.1,N,9,N,17,Y,81155,2,89109
Clio Pate             ,5321449065598435,822,?,83278 North Belgium Ln.                                       ,Las Vegas             ,USA,341994,Cooper@vulputate.org       ,Erica *Crane           ,827-163-8137,NV,73692,77568,Y,254.8,20,23.4,Y,55,N,14,N,56412,3,89106
Harriet Moss          ,4532361289071966,722,?,4577 South Gambia Ave.                                        ,Las Vegas             ,USA,717828,Ali@Nullam.edu             ,James *Sharpe          ,240-197-5138,NV,99844,87492,Y,26,7,94.7,Y,80,N,6,N,25286,1,89102
Allistair Vasquez     ,5350384971255073,923,?,71625 East Idaho Springs Blvd.                                ,Las Vegas             ,USA,131870,Jemima@ac.org              ,Allistair *Vasquez     ,622-760-9588,NV,25434,24961,N,342.9,3,38.3,Y,14,N,5,N,81641,2,89109
Howard Cole           ,4485548998140044,122,?,14781 East Armenia Way                                        ,Las Vegas             ,USA,596916,Lani@blandit.edu           ,Howard *Cole           ,021-830-6297,NV,45338,45142,N,523.4,7,19.6,Y,59,N,20,Y,97798,3,89106
Melyssa Velasquez     ,6011619594548688,1119,?,38807 West Monaco Ln.                                         ,Las Vegas             ,USA,991858,Veronica@eleifend.org      ,Lucy *Lowery           ,923-567-9359,NV,94035,91289,N,838.9,8,97.7,N,52,N,19,Y,49590,1,89102
Darius Alford         ,5381679237779417,1019,?,33995 North Turkey St.                                        ,Las Vegas             ,USA,248514,Joan@ipsum.edu             ,Jamal *Tillman         ,374-472-1942,NV,58075,2933,Y,708,6,63,Y,75,N,9,N,40292,2,89109
Orson Sutton          ,4916726128695181,921,?,7175 West Switzerland Blvd.                                   ,Las Vegas             ,USA,768980,Halee@accumsan.us          ,Aiko *Wade             ,980-580-1910,NV,54370,55347,Y,38.3,10,74.5,N,26,N,13,N,22696,3,89106
Alexandra Donovan     ,5452314935727161,822,?,85713 West Viet Nam Ln.                                       ,Las Vegas             ,USA,129668,Cyrus@sem.net              ,Madaline *Henderson    ,008-231-6898,NV,86755,57483,Y,490.9,10,42.7,N,27,N,19,N,2484,1,89102
Raven Snyder          ,4093758838913476,519,?,50576 West Barbados Way                                       ,Las Vegas             ,USA,496712,Pearl@ipsum.gov            ,Raven *Snyder          ,056-218-4966,NV,67221,67084,Y,733.6,6,53.4,Y,92,N,12,N,96366,2,89109
Brennan Trevino       ,374161302710270,521,?,77460 South Gatlinburg St.                                    ,Las Vegas             ,USA,879376,Rashad@orci.org            ,Brennan *Trevino       ,395-846-7747,NV,83222,82998,Y,388.1,9,18.6,N,63,N,16,N,49821,3,89106
Madeson Woods         ,5360352989225543,1122,?,85853 South City of Industry Ave.                             ,Las Vegas             ,USA,269598,Libby@ligula.us            ,Madeson *Woods         ,134-831-5640,NV,27684,27380,Y,516.3,13,100.4,N,41,N,21,N,24634,1,89102
Anthony Adkins        ,349761714048193,319,?,69596 West Algeria Ln.                                        ,Las Vegas             ,USA,863812,Sawyer@pulvinar.com        ,Anthony *Adkins        ,421-787-0483,NV,8326,7903,Y,773.9,13,39.6,N,44,N,9,N,6279,2,89109
Charlotte Adkins      ,375920286744806,221,?,35417 South South Georgia and The South Sandwich Islands Ct.  ,Las Vegas             ,USA,807256,Grady@Vestibulum.org       ,Miriam *Lindsay        ,048-635-2797,NV,84739,38222,N,869.1,19,20.6,N,74,N,16,Y,26830,3,89106
Zachery Dotson        ,4485085851853850,922,?,41421 North Cook Islands Ln.                                  ,Las Vegas             ,USA,563991,Levi@consectetuer.net      ,Zachery *Dotson        ,485-072-3744,NV,33490,32995,Y,896.8,7,86.8,Y,31,N,5,Y,52721,1,89102
September Finley      ,5476309338910648,1020,?,60076 South Indonesia St.                                     ,Las Vegas             ,USA,146313,Stephanie@Phasellus.net    ,September *Finley      ,816-427-2811,NV,92871,92749,Y,268.6,4,83.9,Y,33,N,14,N,73437,2,89109
Veda Stark            ,4556727230931790,319,?,43586 East Green River Way                                    ,Las Vegas             ,USA,797074,Maisie@Nam.org             ,Veda *Stark            ,225-829-3906,NV,92305,91976,Y,115,2,72.1,Y,70,N,8,Y,33654,3,89106
Rahim Mendez          ,5123705360957646,618,?,28968 East Russian Federation Ln.                             ,Las Vegas             ,USA,95309,Leila@aliquam.us           ,Rahim *Mendez          ,882-251-8652,NV,45425,45150,N,705.8,1,55.2,Y,14,N,11,N,62953,1,89102
Caldwell Mccullough   ,345280631084342,318,?,62239 North Burundi Ln.                                       ,Las Vegas             ,USA,919932,Alexander@iaculis.gov      ,Ahmed *Berry           ,431-209-4179,NV,27123,62134,N,534.1,8,97.5,N,61,N,8,N,49389,2,89109
Mikayla Carson        ,4539080743231411,323,?,28667 East Burundi Way                                        ,Las Vegas             ,USA,661161,Janna@congue.gov           ,Kennan *Sims           ,176-489-0203,NV,7923,9890,Y,831.6,8,70,N,36,N,14,Y,72709,3,89106
Macey Mills           ,5453447846916405,923,?,42515 West Fountain Valley Ct.                                ,Las Vegas             ,USA,47026,Quemby@id.com              ,Macey *Mills           ,575-188-7372,NV,10143,10071,N,720.1,5,26.2,Y,60,N,13,N,26285,1,89102
Richard Gonzales      ,5188515876796202,1119,?,93544 South Fall River Way                                    ,Las Vegas             ,USA,70478,Hyatt@a.gov                ,Wade *Conner           ,819-860-9789,NV,98512,41060,Y,684,12,98.5,Y,50,N,19,Y,92046,2,89109
Emery Conrad          ,5361484826755280,1023,?,30786 West Fullerton Ct.                                      ,Las Vegas             ,USA,242258,Vivien@ornare.us           ,Tyrone *Gaines         ,236-398-8323,NV,87240,94992,N,936.1,8,60.5,Y,17,N,9,Y,23295,3,89106
